"Location","Sample","antigen","value","metric","group","samp","conc","ctrl_group","conc_label","which","dups"
"199(1,I7)","Unknown1","HlyE",125250.8906,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_HlyE_Claire at MGH"
"200(1,I8)","Unknown1","HlyE",130421.2578,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_HlyE_Claire at MGH"
"201(1,I9)","Unknown2","HlyE",26096.80664,"Median","Samples","Unknown2",0.00025,"MGH mixed pool","2.819444444","Claire at MGH","MGH mixed pool_0.00025_HlyE_Claire at MGH"
"202(1,I10)","Unknown2","HlyE",38336.55859,"Median","Samples","Unknown2",0.00025,"MGH mixed pool","2.819444444","Claire at MGH","MGH mixed pool_0.00025_HlyE_Claire at MGH"
"203(1,I11)","Unknown3","HlyE",8270.58008,"Median","Samples","Unknown3",6.25e-05,"MGH mixed pool","1:16000","Claire at MGH","MGH mixed pool_6.25e-05_HlyE_Claire at MGH"
"204(1,I12)","Unknown3","HlyE",8506.48145,"Median","Samples","Unknown3",6.25e-05,"MGH mixed pool","1:16000","Claire at MGH","MGH mixed pool_6.25e-05_HlyE_Claire at MGH"
"205(1,I13)","Unknown4","HlyE",2201.90503,"Median","Samples","Unknown4",1.5625e-05,"MGH mixed pool","1:64000","Claire at MGH","MGH mixed pool_1.5625e-05_HlyE_Claire at MGH"
"206(1,I14)","Unknown4","HlyE",1659.38086,"Median","Samples","Unknown4",1.5625e-05,"MGH mixed pool","1:64000","Claire at MGH","MGH mixed pool_1.5625e-05_HlyE_Claire at MGH"
"207(1,I15)","Unknown5","HlyE",470.90332,"Median","Samples","Unknown5",3.90625e-06,"MGH mixed pool","1:256000","Claire at MGH","MGH mixed pool_3.90625e-06_HlyE_Claire at MGH"
"208(1,I16)","Unknown5","HlyE",534.11877,"Median","Samples","Unknown5",3.90625e-06,"MGH mixed pool","1:256000","Claire at MGH","MGH mixed pool_3.90625e-06_HlyE_Claire at MGH"
"209(1,I17)","Unknown6","HlyE",165.7417,"Median","Samples","Unknown6",9.76563e-07,"MGH mixed pool","1:1024000","Claire at MGH","MGH mixed pool_9.76563e-07_HlyE_Claire at MGH"
"210(1,I18)","Unknown6","HlyE",156.85156,"Median","Samples","Unknown6",9.76563e-07,"MGH mixed pool","1:1024000","Claire at MGH","MGH mixed pool_9.76563e-07_HlyE_Claire at MGH"
"211(1,I19)","Unknown7","HlyE",102.14278,"Median","Samples","Unknown7",2.44141e-07,"MGH mixed pool","1:4096000","Claire at MGH","MGH mixed pool_2.44141e-07_HlyE_Claire at MGH"
"212(1,I20)","Unknown7","HlyE",108.26875,"Median","Samples","Unknown7",2.44141e-07,"MGH mixed pool","1:4096000","Claire at MGH","MGH mixed pool_2.44141e-07_HlyE_Claire at MGH"
"213(1,I21)","Unknown8","HlyE",77.47949,"Median","Samples","Unknown8",6.10352e-08,"MGH mixed pool","1:16384000","Claire at MGH","MGH mixed pool_6.10352e-08_HlyE_Claire at MGH"
"214(1,I22)","Unknown8","HlyE",73.92012,"Median","Samples","Unknown8",6.10352e-08,"MGH mixed pool","1:16384000","Claire at MGH","MGH mixed pool_6.10352e-08_HlyE_Claire at MGH"
"215(1,I23)","Unknown9","HlyE",83.17715,"Median","Samples","Unknown9",0.001,"Neg control","0.736111111","Claire at MGH","Neg control_0.001_HlyE_Claire at MGH"
"216(1,I24)","Unknown9","HlyE",68.09961,"Median","Samples","Unknown9",0.001,"Neg control","0.736111111","Claire at MGH","Neg control_0.001_HlyE_Claire at MGH"
"217(1,J1)","Unknown10","HlyE",179486.375,"Median","Samples","Unknown10",50,"HlyE mAb","50 ng.mL","Claire at MGH","HlyE mAb_50_HlyE_Claire at MGH"
"218(1,J2)","Unknown10","HlyE",176787.1406,"Median","Samples","Unknown10",50,"HlyE mAb","50 ng.mL","Claire at MGH","HlyE mAb_50_HlyE_Claire at MGH"
"219(1,J3)","Unknown11","HlyE",37651.8125,"Median","Samples","Unknown11",12.5,"HlyE mAb","12.5 ng.mL","Claire at MGH","HlyE mAb_12.5_HlyE_Claire at MGH"
"220(1,J4)","Unknown11","HlyE",42155.44922,"Median","Samples","Unknown11",12.5,"HlyE mAb","12.5 ng.mL","Claire at MGH","HlyE mAb_12.5_HlyE_Claire at MGH"
"221(1,J5)","Unknown12","HlyE",8037.90381,"Median","Samples","Unknown12",3.125,"HlyE mAb","3.125 ng.mL","Claire at MGH","HlyE mAb_3.125_HlyE_Claire at MGH"
"222(1,J6)","Unknown12","HlyE",9260.37012,"Median","Samples","Unknown12",3.125,"HlyE mAb","3.125 ng.mL","Claire at MGH","HlyE mAb_3.125_HlyE_Claire at MGH"
"223(1,J7)","Unknown13","HlyE",1855.71265,"Median","Samples","Unknown13",0.78125,"HlyE mAb","0.78125 ng.mL","Claire at MGH","HlyE mAb_0.78125_HlyE_Claire at MGH"
"224(1,J8)","Unknown13","HlyE",1783.89429,"Median","Samples","Unknown13",0.78125,"HlyE mAb","0.78125 ng.mL","Claire at MGH","HlyE mAb_0.78125_HlyE_Claire at MGH"
"225(1,J9)","Unknown14","HlyE",541.37366,"Median","Samples","Unknown14",0.1953125,"HlyE mAb","0.1953125 ng.mL","Claire at MGH","HlyE mAb_0.1953125_HlyE_Claire at MGH"
"226(1,J10)","Unknown14","HlyE",558.47821,"Median","Samples","Unknown14",0.1953125,"HlyE mAb","0.1953125 ng.mL","Claire at MGH","HlyE mAb_0.1953125_HlyE_Claire at MGH"
"227(1,J11)","Unknown15","HlyE",190.60918,"Median","Samples","Unknown15",0.048828125,"HlyE mAb","0.048828125 ng.mL","Claire at MGH","HlyE mAb_0.048828125_HlyE_Claire at MGH"
"228(1,J12)","Unknown15","HlyE",124.24941,"Median","Samples","Unknown15",0.048828125,"HlyE mAb","0.048828125 ng.mL","Claire at MGH","HlyE mAb_0.048828125_HlyE_Claire at MGH"
"229(1,J13)","Unknown16","HlyE",96.75723,"Median","Samples","Unknown16",0.012207031,"HlyE mAb","0.012207031 ng.mL","Claire at MGH","HlyE mAb_0.012207031_HlyE_Claire at MGH"
"230(1,J14)","Unknown16","HlyE",98.04053,"Median","Samples","Unknown16",0.012207031,"HlyE mAb","0.012207031 ng.mL","Claire at MGH","HlyE mAb_0.012207031_HlyE_Claire at MGH"
"231(1,J15)","Unknown17","HlyE",68.76201,"Median","Samples","Unknown17",0.003051758,"HlyE mAb","0.003051758 ng.mL","Claire at MGH","HlyE mAb_0.003051758_HlyE_Claire at MGH"
"232(1,J16)","Unknown17","HlyE",74.65059,"Median","Samples","Unknown17",0.003051758,"HlyE mAb","0.003051758 ng.mL","Claire at MGH","HlyE mAb_0.003051758_HlyE_Claire at MGH"
"241(1,K1)","Unknown18","HlyE",80728.51562,"Median","Samples","Unknown18",0.01,"MGH VC pool","0.111111111","Claire at MGH","MGH VC pool_0.01_HlyE_Claire at MGH"
"242(1,K2)","Unknown18","HlyE",87063.48438,"Median","Samples","Unknown18",0.01,"MGH VC pool","0.111111111","Claire at MGH","MGH VC pool_0.01_HlyE_Claire at MGH"
"243(1,K3)","Unknown19","HlyE",15083.49902,"Median","Samples","Unknown19",0.0025,"MGH VC pool","0.319444444","Claire at MGH","MGH VC pool_0.0025_HlyE_Claire at MGH"
"244(1,K4)","Unknown19","HlyE",14780.88867,"Median","Samples","Unknown19",0.0025,"MGH VC pool","0.319444444","Claire at MGH","MGH VC pool_0.0025_HlyE_Claire at MGH"
"245(1,K5)","Unknown20","HlyE",3424.50391,"Median","Samples","Unknown20",0.000625,"MGH VC pool","1.152777778","Claire at MGH","MGH VC pool_0.000625_HlyE_Claire at MGH"
"246(1,K6)","Unknown20","HlyE",3696.06396,"Median","Samples","Unknown20",0.000625,"MGH VC pool","1.152777778","Claire at MGH","MGH VC pool_0.000625_HlyE_Claire at MGH"
"247(1,K7)","Unknown21","HlyE",685.44037,"Median","Samples","Unknown21",0.00015625,"MGH VC pool","1:64000","Claire at MGH","MGH VC pool_0.00015625_HlyE_Claire at MGH"
"248(1,K8)","Unknown21","HlyE",959.42749,"Median","Samples","Unknown21",0.00015625,"MGH VC pool","1:64000","Claire at MGH","MGH VC pool_0.00015625_HlyE_Claire at MGH"
"250(1,K10)","Unknown22","HlyE",225.72314,"Median","Samples","Unknown22",3.90625e-05,"MGH VC pool","1:256000","Claire at MGH","MGH VC pool_3.90625e-05_HlyE_Claire at MGH"
"251(1,K11)","Unknown23","HlyE",154.07246,"Median","Samples","Unknown23",9.765625e-06,"MGH VC pool","1:1024000","Claire at MGH","MGH VC pool_9.765625e-06_HlyE_Claire at MGH"
"252(1,K12)","Unknown23","HlyE",109.94219,"Median","Samples","Unknown23",9.765625e-06,"MGH VC pool","1:1024000","Claire at MGH","MGH VC pool_9.765625e-06_HlyE_Claire at MGH"
"253(1,K13)","Unknown24","HlyE",80.84131,"Median","Samples","Unknown24",2.44140625e-06,"MGH VC pool","1:4096000","Claire at MGH","MGH VC pool_2.44140625e-06_HlyE_Claire at MGH"
"254(1,K14)","Unknown24","HlyE",54.43984,"Median","Samples","Unknown24",2.44140625e-06,"MGH VC pool","1:4096000","Claire at MGH","MGH VC pool_2.44140625e-06_HlyE_Claire at MGH"
"255(1,K15)","Unknown25","HlyE",66.30332,"Median","Samples","Unknown25",6.103515625e-07,"MGH VC pool","1:16384000","Claire at MGH","MGH VC pool_6.103515625e-07_HlyE_Claire at MGH"
"256(1,K16)","Unknown25","HlyE",77.46289,"Median","Samples","Unknown25",6.103515625e-07,"MGH VC pool","1:16384000","Claire at MGH","MGH VC pool_6.103515625e-07_HlyE_Claire at MGH"
"265(1,L1)","Unknown26","HlyE",150826.4531,"Median","Samples","Unknown26",0.001,"MGH Typhi HL","0.736111111","Claire at MGH","MGH Typhi HL_0.001_HlyE_Claire at MGH"
"266(1,L2)","Unknown26","HlyE",137099.3438,"Median","Samples","Unknown26",0.001,"MGH Typhi HL","0.736111111","Claire at MGH","MGH Typhi HL_0.001_HlyE_Claire at MGH"
"267(1,L3)","Unknown27","HlyE",34416.70703,"Median","Samples","Unknown27",0.00025,"MGH Typhi HL","2.819444444","Claire at MGH","MGH Typhi HL_0.00025_HlyE_Claire at MGH"
"268(1,L4)","Unknown27","HlyE",27391.8418,"Median","Samples","Unknown27",0.00025,"MGH Typhi HL","2.819444444","Claire at MGH","MGH Typhi HL_0.00025_HlyE_Claire at MGH"
"269(1,L5)","Unknown28","HlyE",7096.49414,"Median","Samples","Unknown28",6.25e-05,"MGH Typhi HL","1:16000","Claire at MGH","MGH Typhi HL_6.25e-05_HlyE_Claire at MGH"
"270(1,L6)","Unknown28","HlyE",5685.78125,"Median","Samples","Unknown28",6.25e-05,"MGH Typhi HL","1:16000","Claire at MGH","MGH Typhi HL_6.25e-05_HlyE_Claire at MGH"
"271(1,L7)","Unknown29","HlyE",764.51526,"Median","Samples","Unknown29",0.001,"MGH Cholera HL","0.736111111","Claire at MGH","MGH Cholera HL_0.001_HlyE_Claire at MGH"
"272(1,L8)","Unknown29","HlyE",687.06396,"Median","Samples","Unknown29",0.001,"MGH Cholera HL","0.736111111","Claire at MGH","MGH Cholera HL_0.001_HlyE_Claire at MGH"
"273(1,L9)","Unknown30","HlyE",253.80136,"Median","Samples","Unknown30",0.00025,"MGH Cholera HL","2.819444444","Claire at MGH","MGH Cholera HL_0.00025_HlyE_Claire at MGH"
"274(1,L10)","Unknown30","HlyE",194.66992,"Median","Samples","Unknown30",0.00025,"MGH Cholera HL","2.819444444","Claire at MGH","MGH Cholera HL_0.00025_HlyE_Claire at MGH"
"275(1,L11)","Unknown31","HlyE",107.97656,"Median","Samples","Unknown31",6.25e-05,"MGH Cholera HL","1:16000","Claire at MGH","MGH Cholera HL_6.25e-05_HlyE_Claire at MGH"
"276(1,L12)","Unknown31","HlyE",103.51738,"Median","Samples","Unknown31",6.25e-05,"MGH Cholera HL","1:16000","Claire at MGH","MGH Cholera HL_6.25e-05_HlyE_Claire at MGH"
"277(1,L13)","Unknown32","HlyE",18422.48438,"Median","Samples","Unknown32",0.001,"MGH Shigella HL","0.736111111","Claire at MGH","MGH Shigella HL_0.001_HlyE_Claire at MGH"
"278(1,L14)","Unknown32","HlyE",25546.27539,"Median","Samples","Unknown32",0.001,"MGH Shigella HL","0.736111111","Claire at MGH","MGH Shigella HL_0.001_HlyE_Claire at MGH"
"279(1,L15)","Unknown33","HlyE",4921.8374,"Median","Samples","Unknown33",0.00025,"MGH Shigella HL","2.819444444","Claire at MGH","MGH Shigella HL_0.00025_HlyE_Claire at MGH"
"280(1,L16)","Unknown33","HlyE",4635.98828,"Median","Samples","Unknown33",0.00025,"MGH Shigella HL","2.819444444","Claire at MGH","MGH Shigella HL_0.00025_HlyE_Claire at MGH"
"281(1,L17)","Unknown34","HlyE",904.78186,"Median","Samples","Unknown34",6.25e-05,"MGH Shigella HL","1:16000","Claire at MGH","MGH Shigella HL_6.25e-05_HlyE_Claire at MGH"
"282(1,L18)","Unknown34","HlyE",928.35938,"Median","Samples","Unknown34",6.25e-05,"MGH Shigella HL","1:16000","Claire at MGH","MGH Shigella HL_6.25e-05_HlyE_Claire at MGH"
"199(1,I7)","Unknown1","Inaba OSP",257491.4844,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_Inaba OSP_Claire at MGH"
"200(1,I8)","Unknown1","Inaba OSP",274071.1563,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_Inaba OSP_Claire at MGH"
"201(1,I9)","Unknown2","Inaba OSP",35301.91797,"Median","Samples","Unknown2",0.00025,"MGH mixed pool","2.819444444","Claire at MGH","MGH mixed pool_0.00025_Inaba OSP_Claire at MGH"
"202(1,I10)","Unknown2","Inaba OSP",132063.1563,"Median","Samples","Unknown2",0.00025,"MGH mixed pool","2.819444444","Claire at MGH","MGH mixed pool_0.00025_Inaba OSP_Claire at MGH"
"203(1,I11)","Unknown3","Inaba OSP",63936.55469,"Median","Samples","Unknown3",6.25e-05,"MGH mixed pool","1:16000","Claire at MGH","MGH mixed pool_6.25e-05_Inaba OSP_Claire at MGH"
"204(1,I12)","Unknown3","Inaba OSP",48030.14844,"Median","Samples","Unknown3",6.25e-05,"MGH mixed pool","1:16000","Claire at MGH","MGH mixed pool_6.25e-05_Inaba OSP_Claire at MGH"
"205(1,I13)","Unknown4","Inaba OSP",11093.03223,"Median","Samples","Unknown4",1.5625e-05,"MGH mixed pool","1:64000","Claire at MGH","MGH mixed pool_1.5625e-05_Inaba OSP_Claire at MGH"
"206(1,I14)","Unknown4","Inaba OSP",11989.45215,"Median","Samples","Unknown4",1.5625e-05,"MGH mixed pool","1:64000","Claire at MGH","MGH mixed pool_1.5625e-05_Inaba OSP_Claire at MGH"
"207(1,I15)","Unknown5","Inaba OSP",3090.46729,"Median","Samples","Unknown5",3.90625e-06,"MGH mixed pool","1:256000","Claire at MGH","MGH mixed pool_3.90625e-06_Inaba OSP_Claire at MGH"
"208(1,I16)","Unknown5","Inaba OSP",3712.1626,"Median","Samples","Unknown5",3.90625e-06,"MGH mixed pool","1:256000","Claire at MGH","MGH mixed pool_3.90625e-06_Inaba OSP_Claire at MGH"
"209(1,I17)","Unknown6","Inaba OSP",934.96014,"Median","Samples","Unknown6",9.76563e-07,"MGH mixed pool","1:1024000","Claire at MGH","MGH mixed pool_9.76563e-07_Inaba OSP_Claire at MGH"
"210(1,I18)","Unknown6","Inaba OSP",977.4917,"Median","Samples","Unknown6",9.76563e-07,"MGH mixed pool","1:1024000","Claire at MGH","MGH mixed pool_9.76563e-07_Inaba OSP_Claire at MGH"
"211(1,I19)","Unknown7","Inaba OSP",257.27109,"Median","Samples","Unknown7",2.44141e-07,"MGH mixed pool","1:4096000","Claire at MGH","MGH mixed pool_2.44141e-07_Inaba OSP_Claire at MGH"
"212(1,I20)","Unknown7","Inaba OSP",299.45734,"Median","Samples","Unknown7",2.44141e-07,"MGH mixed pool","1:4096000","Claire at MGH","MGH mixed pool_2.44141e-07_Inaba OSP_Claire at MGH"
"213(1,I21)","Unknown8","Inaba OSP",108.31855,"Median","Samples","Unknown8",6.10352e-08,"MGH mixed pool","1:16384000","Claire at MGH","MGH mixed pool_6.10352e-08_Inaba OSP_Claire at MGH"
"214(1,I22)","Unknown8","Inaba OSP",121.23623,"Median","Samples","Unknown8",6.10352e-08,"MGH mixed pool","1:16384000","Claire at MGH","MGH mixed pool_6.10352e-08_Inaba OSP_Claire at MGH"
"215(1,I23)","Unknown9","Inaba OSP",94.25039,"Median","Samples","Unknown9",0.001,"Neg control","0.736111111","Claire at MGH","Neg control_0.001_Inaba OSP_Claire at MGH"
"216(1,I24)","Unknown9","Inaba OSP",85.05479,"Median","Samples","Unknown9",0.001,"Neg control","0.736111111","Claire at MGH","Neg control_0.001_Inaba OSP_Claire at MGH"
"217(1,J1)","Unknown10","Inaba OSP",77.89453,"Median","Samples","Unknown10",50,"HlyE mAb","50 ng.mL","Claire at MGH","HlyE mAb_50_Inaba OSP_Claire at MGH"
"218(1,J2)","Unknown10","Inaba OSP",74.55928,"Median","Samples","Unknown10",50,"HlyE mAb","50 ng.mL","Claire at MGH","HlyE mAb_50_Inaba OSP_Claire at MGH"
"219(1,J3)","Unknown11","Inaba OSP",102.75371,"Median","Samples","Unknown11",12.5,"HlyE mAb","12.5 ng.mL","Claire at MGH","HlyE mAb_12.5_Inaba OSP_Claire at MGH"
"220(1,J4)","Unknown11","Inaba OSP",87.41055,"Median","Samples","Unknown11",12.5,"HlyE mAb","12.5 ng.mL","Claire at MGH","HlyE mAb_12.5_Inaba OSP_Claire at MGH"
"221(1,J5)","Unknown12","Inaba OSP",102.78193,"Median","Samples","Unknown12",3.125,"HlyE mAb","3.125 ng.mL","Claire at MGH","HlyE mAb_3.125_Inaba OSP_Claire at MGH"
"222(1,J6)","Unknown12","Inaba OSP",83.14893,"Median","Samples","Unknown12",3.125,"HlyE mAb","3.125 ng.mL","Claire at MGH","HlyE mAb_3.125_Inaba OSP_Claire at MGH"
"223(1,J7)","Unknown13","Inaba OSP",86.66348,"Median","Samples","Unknown13",0.78125,"HlyE mAb","0.78125 ng.mL","Claire at MGH","HlyE mAb_0.78125_Inaba OSP_Claire at MGH"
"224(1,J8)","Unknown13","Inaba OSP",86.14883,"Median","Samples","Unknown13",0.78125,"HlyE mAb","0.78125 ng.mL","Claire at MGH","HlyE mAb_0.78125_Inaba OSP_Claire at MGH"
"225(1,J9)","Unknown14","Inaba OSP",94.11426,"Median","Samples","Unknown14",0.1953125,"HlyE mAb","0.1953125 ng.mL","Claire at MGH","HlyE mAb_0.1953125_Inaba OSP_Claire at MGH"
"226(1,J10)","Unknown14","Inaba OSP",91.37832,"Median","Samples","Unknown14",0.1953125,"HlyE mAb","0.1953125 ng.mL","Claire at MGH","HlyE mAb_0.1953125_Inaba OSP_Claire at MGH"
"227(1,J11)","Unknown15","Inaba OSP",70.16318,"Median","Samples","Unknown15",0.048828125,"HlyE mAb","0.048828125 ng.mL","Claire at MGH","HlyE mAb_0.048828125_Inaba OSP_Claire at MGH"
"228(1,J12)","Unknown15","Inaba OSP",77.11094,"Median","Samples","Unknown15",0.048828125,"HlyE mAb","0.048828125 ng.mL","Claire at MGH","HlyE mAb_0.048828125_Inaba OSP_Claire at MGH"
"229(1,J13)","Unknown16","Inaba OSP",74.89961,"Median","Samples","Unknown16",0.012207031,"HlyE mAb","0.012207031 ng.mL","Claire at MGH","HlyE mAb_0.012207031_Inaba OSP_Claire at MGH"
"230(1,J14)","Unknown16","Inaba OSP",67.69785,"Median","Samples","Unknown16",0.012207031,"HlyE mAb","0.012207031 ng.mL","Claire at MGH","HlyE mAb_0.012207031_Inaba OSP_Claire at MGH"
"231(1,J15)","Unknown17","Inaba OSP",79.25254,"Median","Samples","Unknown17",0.003051758,"HlyE mAb","0.003051758 ng.mL","Claire at MGH","HlyE mAb_0.003051758_Inaba OSP_Claire at MGH"
"232(1,J16)","Unknown17","Inaba OSP",63.38975,"Median","Samples","Unknown17",0.003051758,"HlyE mAb","0.003051758 ng.mL","Claire at MGH","HlyE mAb_0.003051758_Inaba OSP_Claire at MGH"
"241(1,K1)","Unknown18","Inaba OSP",59929.30469,"Median","Samples","Unknown18",0.01,"MGH VC pool","0.111111111","Claire at MGH","MGH VC pool_0.01_Inaba OSP_Claire at MGH"
"242(1,K2)","Unknown18","Inaba OSP",51905.85938,"Median","Samples","Unknown18",0.01,"MGH VC pool","0.111111111","Claire at MGH","MGH VC pool_0.01_Inaba OSP_Claire at MGH"
"243(1,K3)","Unknown19","Inaba OSP",19638.41406,"Median","Samples","Unknown19",0.0025,"MGH VC pool","0.319444444","Claire at MGH","MGH VC pool_0.0025_Inaba OSP_Claire at MGH"
"244(1,K4)","Unknown19","Inaba OSP",18020.52148,"Median","Samples","Unknown19",0.0025,"MGH VC pool","0.319444444","Claire at MGH","MGH VC pool_0.0025_Inaba OSP_Claire at MGH"
"245(1,K5)","Unknown20","Inaba OSP",4696.58203,"Median","Samples","Unknown20",0.000625,"MGH VC pool","1.152777778","Claire at MGH","MGH VC pool_0.000625_Inaba OSP_Claire at MGH"
"246(1,K6)","Unknown20","Inaba OSP",5658.25732,"Median","Samples","Unknown20",0.000625,"MGH VC pool","1.152777778","Claire at MGH","MGH VC pool_0.000625_Inaba OSP_Claire at MGH"
"247(1,K7)","Unknown21","Inaba OSP",1411.61096,"Median","Samples","Unknown21",0.00015625,"MGH VC pool","1:64000","Claire at MGH","MGH VC pool_0.00015625_Inaba OSP_Claire at MGH"
"248(1,K8)","Unknown21","Inaba OSP",1630.80798,"Median","Samples","Unknown21",0.00015625,"MGH VC pool","1:64000","Claire at MGH","MGH VC pool_0.00015625_Inaba OSP_Claire at MGH"
"250(1,K10)","Unknown22","Inaba OSP",344.40607,"Median","Samples","Unknown22",3.90625e-05,"MGH VC pool","1:256000","Claire at MGH","MGH VC pool_3.90625e-05_Inaba OSP_Claire at MGH"
"251(1,K11)","Unknown23","Inaba OSP",182.06601,"Median","Samples","Unknown23",9.765625e-06,"MGH VC pool","1:1024000","Claire at MGH","MGH VC pool_9.765625e-06_Inaba OSP_Claire at MGH"
"252(1,K12)","Unknown23","Inaba OSP",142.71368,"Median","Samples","Unknown23",9.765625e-06,"MGH VC pool","1:1024000","Claire at MGH","MGH VC pool_9.765625e-06_Inaba OSP_Claire at MGH"
"253(1,K13)","Unknown24","Inaba OSP",95.51211,"Median","Samples","Unknown24",2.44140625e-06,"MGH VC pool","1:4096000","Claire at MGH","MGH VC pool_2.44140625e-06_Inaba OSP_Claire at MGH"
"254(1,K14)","Unknown24","Inaba OSP",75.64336,"Median","Samples","Unknown24",2.44140625e-06,"MGH VC pool","1:4096000","Claire at MGH","MGH VC pool_2.44140625e-06_Inaba OSP_Claire at MGH"
"255(1,K15)","Unknown25","Inaba OSP",89.9705,"Median","Samples","Unknown25",6.103515625e-07,"MGH VC pool","1:16384000","Claire at MGH","MGH VC pool_6.103515625e-07_Inaba OSP_Claire at MGH"
"256(1,K16)","Unknown25","Inaba OSP",92.13535,"Median","Samples","Unknown25",6.103515625e-07,"MGH VC pool","1:16384000","Claire at MGH","MGH VC pool_6.103515625e-07_Inaba OSP_Claire at MGH"
"265(1,L1)","Unknown26","Inaba OSP",178.95155,"Median","Samples","Unknown26",0.001,"MGH Typhi HL","0.736111111","Claire at MGH","MGH Typhi HL_0.001_Inaba OSP_Claire at MGH"
"266(1,L2)","Unknown26","Inaba OSP",155.12003,"Median","Samples","Unknown26",0.001,"MGH Typhi HL","0.736111111","Claire at MGH","MGH Typhi HL_0.001_Inaba OSP_Claire at MGH"
"267(1,L3)","Unknown27","Inaba OSP",93.02852,"Median","Samples","Unknown27",0.00025,"MGH Typhi HL","2.819444444","Claire at MGH","MGH Typhi HL_0.00025_Inaba OSP_Claire at MGH"
"268(1,L4)","Unknown27","Inaba OSP",67.94356,"Median","Samples","Unknown27",0.00025,"MGH Typhi HL","2.819444444","Claire at MGH","MGH Typhi HL_0.00025_Inaba OSP_Claire at MGH"
"269(1,L5)","Unknown28","Inaba OSP",78.53867,"Median","Samples","Unknown28",6.25e-05,"MGH Typhi HL","1:16000","Claire at MGH","MGH Typhi HL_6.25e-05_Inaba OSP_Claire at MGH"
"270(1,L6)","Unknown28","Inaba OSP",90.97988,"Median","Samples","Unknown28",6.25e-05,"MGH Typhi HL","1:16000","Claire at MGH","MGH Typhi HL_6.25e-05_Inaba OSP_Claire at MGH"
"271(1,L7)","Unknown29","Inaba OSP",44486.02344,"Median","Samples","Unknown29",0.001,"MGH Cholera HL","0.736111111","Claire at MGH","MGH Cholera HL_0.001_Inaba OSP_Claire at MGH"
"272(1,L8)","Unknown29","Inaba OSP",50096.1875,"Median","Samples","Unknown29",0.001,"MGH Cholera HL","0.736111111","Claire at MGH","MGH Cholera HL_0.001_Inaba OSP_Claire at MGH"
"273(1,L9)","Unknown30","Inaba OSP",9234.23926,"Median","Samples","Unknown30",0.00025,"MGH Cholera HL","2.819444444","Claire at MGH","MGH Cholera HL_0.00025_Inaba OSP_Claire at MGH"
"274(1,L10)","Unknown30","Inaba OSP",7059.17871,"Median","Samples","Unknown30",0.00025,"MGH Cholera HL","2.819444444","Claire at MGH","MGH Cholera HL_0.00025_Inaba OSP_Claire at MGH"
"275(1,L11)","Unknown31","Inaba OSP",2503.52563,"Median","Samples","Unknown31",6.25e-05,"MGH Cholera HL","1:16000","Claire at MGH","MGH Cholera HL_6.25e-05_Inaba OSP_Claire at MGH"
"276(1,L12)","Unknown31","Inaba OSP",2623.89526,"Median","Samples","Unknown31",6.25e-05,"MGH Cholera HL","1:16000","Claire at MGH","MGH Cholera HL_6.25e-05_Inaba OSP_Claire at MGH"
"277(1,L13)","Unknown32","Inaba OSP",587.32343,"Median","Samples","Unknown32",0.001,"MGH Shigella HL","0.736111111","Claire at MGH","MGH Shigella HL_0.001_Inaba OSP_Claire at MGH"
"278(1,L14)","Unknown32","Inaba OSP",601.19904,"Median","Samples","Unknown32",0.001,"MGH Shigella HL","0.736111111","Claire at MGH","MGH Shigella HL_0.001_Inaba OSP_Claire at MGH"
"279(1,L15)","Unknown33","Inaba OSP",176.26875,"Median","Samples","Unknown33",0.00025,"MGH Shigella HL","2.819444444","Claire at MGH","MGH Shigella HL_0.00025_Inaba OSP_Claire at MGH"
"280(1,L16)","Unknown33","Inaba OSP",192.89023,"Median","Samples","Unknown33",0.00025,"MGH Shigella HL","2.819444444","Claire at MGH","MGH Shigella HL_0.00025_Inaba OSP_Claire at MGH"
"281(1,L17)","Unknown34","Inaba OSP",101.75762,"Median","Samples","Unknown34",6.25e-05,"MGH Shigella HL","1:16000","Claire at MGH","MGH Shigella HL_6.25e-05_Inaba OSP_Claire at MGH"
"282(1,L18)","Unknown34","Inaba OSP",93.6793,"Median","Samples","Unknown34",6.25e-05,"MGH Shigella HL","1:16000","Claire at MGH","MGH Shigella HL_6.25e-05_Inaba OSP_Claire at MGH"
"199(1,I7)","Unknown1","CtxB",178678.6406,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_CtxB_Claire at MGH"
"200(1,I8)","Unknown1","CtxB",173611.7188,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_CtxB_Claire at MGH"
"201(1,I9)","Unknown2","CtxB",118965.3359,"Median","Samples","Unknown2",0.00025,"MGH mixed pool","2.819444444","Claire at MGH","MGH mixed pool_0.00025_CtxB_Claire at MGH"
